SMTS	SMUBRTRM	SEX
Adipose Tissue	subcutaneous adipose tissue	F
Muscle	gastrocnemius medialis	F
Blood Vessel	tibial artery	F
Blood Vessel	coronary artery	F
Heart	right atrium auricular region	F
Adipose Tissue	omental fat pad	F
Uterus	uterus	F
Vagina	vagina	F
Breast	breast epithelium	F
Skin	suprapubic skin	F
Salivary Gland	anterior lingual gland	F
Brain	frontal cortex	F
Adrenal Gland	adrenal gland	M
Thyroid	thyroid gland	M
Lung	upper lobe of left lung	M
Spleen	spleen	M
Pancreas	body of pancreas	M
Esophagus	esophagus muscularis mucosa	M
Esophagus	esophagus squamous epithelium	M
Esophagus	gastroesophageal sphincter	M
Stomach	stomach	M
Adipose Tissue	omental fat pad	M
Skin	suprapubic skin	M
Colon	sigmoid colon	M
Small Intestine	Peyers patch	M
Colon	transverse colon	M
Prostate	prostate gland	M
Testis	testis	M
Adipose Tissue	subcutaneous adipose tissue	M
Muscle	gastrocnemius medialis	M
Nerve	tibial nerve	M
Skin	lower leg skin	M
Adipose Tissue	subcutaneous adipose tissue	M
Muscle	gastrocnemius medialis	M
Blood Vessel	tibial artery	M
Nerve	tibial nerve	M
Heart	right atrium auricular region	M
Heart	left ventricle myocardium	M
Thyroid	thyroid gland	M
Lung	upper lobe of left lung	M
Spleen	spleen	M
Testis	testis	M
Prostate	prostate gland	M
Skin	suprapubic skin	M
Salivary Gland	anterior lingual gland	M
Brain	frontal cortex	M
Brain	cerebellum	M
Skin	fibroblast	M
Heart	right atrium auricular region	M
Thyroid	thyroid gland	M
Lung	upper lobe of left lung	M
Skin	suprapubic skin	M
Testis	testis	M
Colon	transverse colon	M
Adipose Tissue	subcutaneous adipose tissue	M
Skin	lower leg skin	M
Nerve	tibial nerve	M
Muscle	gastrocnemius medialis	M
Blood	venous blood	M
Skin	fibroblast	M
Adrenal Gland	adrenal gland	M
Heart	right atrium auricular region	M
Heart	left ventricle myocardium	M
Blood Vessel	ascending aorta	M
Lung	upper lobe of left lung	M
Thyroid	thyroid gland	M
Esophagus	gastroesophageal sphincter	M
Esophagus	esophagus squamous epithelium	M
Esophagus	esophagus muscularis mucosa	M
Stomach	stomach	M
Pancreas	body of pancreas	M
Adipose Tissue	omental fat pad	M
Small Intestine	Peyers patch	M
Skin	suprapubic skin	M
Colon	transverse colon	M
Prostate	prostate gland	M
Colon	sigmoid colon	M
Breast	breast epithelium	M
Testis	testis	M
Nerve	tibial nerve	M
Blood Vessel	tibial artery	M
Muscle	gastrocnemius medialis	M
Adipose Tissue	subcutaneous adipose tissue	M
Blood	lymphoblast	F
Blood	venous blood	F
Skin	fibroblast	F
Lung	upper lobe of left lung	F
Thyroid	thyroid gland	F
Adrenal Gland	adrenal gland	F
Blood Vessel	coronary artery	F
Spleen	spleen	F
Heart	right atrium auricular region	F
Pancreas	body of pancreas	F
Heart	left ventricle myocardium	F
Adipose Tissue	omental fat pad	F
Skin	suprapubic skin	F
Blood Vessel	ascending aorta	F
Breast	breast epithelium	F
Small Intestine	Peyers patch	F
Colon	sigmoid colon	F
Colon	transverse colon	F
Esophagus	esophagus muscularis mucosa	F
Esophagus	esophagus squamous epithelium	F
Esophagus	gastroesophageal sphincter	F
Stomach	stomach	F
Adipose Tissue	subcutaneous adipose tissue	F
Skin	lower leg skin	F
Blood Vessel	tibial artery	F
Muscle	gastrocnemius medialis	F
Blood	venous blood	F
Skin	fibroblast	F
Thyroid	thyroid gland	F
Blood Vessel	ascending aorta	F
Lung	upper lobe of left lung	F
Pancreas	body of pancreas	F
Adipose Tissue	omental fat pad	F
Colon	transverse colon	F
Adipose Tissue	subcutaneous adipose tissue	F
Skin	lower leg skin	F
Muscle	gastrocnemius medialis	F
Blood Vessel	tibial artery	F
Pituitary	pituitary gland	F
Brain	frontal cortex	F
Brain	cerebellum	F
Blood	venous blood	M
Skin	fibroblast	M
Skin	lower leg skin	M
Adipose Tissue	subcutaneous adipose tissue	M
Blood Vessel	tibial artery	M
Nerve	tibial nerve	M
Blood	venous blood	F
Skin	fibroblast	F
Thyroid	thyroid gland	F
Adipose Tissue	omental fat pad	F
Esophagus	esophagus muscularis mucosa	F
Esophagus	gastroesophageal sphincter	F
Vagina	vagina	F
Uterus	uterus	F
Skin	lower leg skin	F
Muscle	gastrocnemius medialis	F
Pituitary	pituitary gland	F
Blood	venous blood	M
Skin	fibroblast	M
Blood Vessel	ascending aorta	M
Thyroid	thyroid gland	M
Heart	right atrium auricular region	M
Breast	breast epithelium	M
Testis	testis	M
Colon	sigmoid colon	M
Muscle	gastrocnemius medialis	M
Skin	lower leg skin	M
Pituitary	pituitary gland	M
Brain	frontal cortex	M
Brain	cerebellum	M
Blood	venous blood	M
Skin	fibroblast	M
Thyroid	thyroid gland	M
Blood Vessel	ascending aorta	M
Heart	left ventricle myocardium	M
Heart	right atrium auricular region	M
Lung	upper lobe of left lung	M
Adipose Tissue	omental fat pad	M
Prostate	prostate gland	M
Testis	testis	M
Colon	transverse colon	M
Esophagus	esophagus squamous epithelium	M
Esophagus	esophagus muscularis mucosa	M
Stomach	stomach	M
Muscle	gastrocnemius medialis	M
Skin	lower leg skin	M
Blood Vessel	tibial artery	M
Pituitary	pituitary gland	M
Adrenal Gland	adrenal gland	M
Pancreas	body of pancreas	M
Small Intestine	Peyers patch	M
Colon	sigmoid colon	M
Heart	right atrium auricular region	M
Adipose Tissue	omental fat pad	M
Colon	transverse colon	M
Stomach	stomach	M
Heart	left ventricle myocardium	M
Thyroid	thyroid gland	M
Lung	upper lobe of left lung	M
Breast	breast epithelium	M
Prostate	prostate gland	M
Blood Vessel	coronary artery	M
Esophagus	esophagus muscularis mucosa	M
Skin	suprapubic skin	M
Testis	testis	M
Spleen	spleen	M
Adipose Tissue	subcutaneous adipose tissue	M
Skin	lower leg skin	M
Nerve	tibial nerve	M
Muscle	gastrocnemius medialis	M
Blood Vessel	tibial artery	M
Blood	venous blood	M
Skin	fibroblast	M
Thyroid	thyroid gland	M
Heart	right atrium auricular region	M
Skin	lower leg skin	M
Pituitary	pituitary gland	M
Blood	venous blood	M
Skin	fibroblast	M
Brain	dorsolateral prefrontal cortex	M
Brain	caudate nucleus	M
Brain	nucleus accumbens	M
Brain	putamen	M
Brain	hypothalamus	M
Brain	first cervical spinal cord segment	M
Skin	lower leg skin	M
Nerve	tibial nerve	M
Muscle	gastrocnemius medialis	M
Heart	right atrium auricular region	M
Thyroid	thyroid gland	M
Adipose Tissue	omental fat pad	M
Esophagus	gastroesophageal sphincter	M
Breast	breast epithelium	M
Small Intestine	Peyers patch	M
Skin	suprapubic skin	M
Salivary Gland	anterior lingual gland	M
Pituitary	pituitary gland	M
Brain	frontal cortex	M
Brain	cerebellum	M
Blood	venous blood	M
Skin	fibroblast	M
Brain	Ammons horn	M
Brain	anterior cingulate cortex	M
Brain	caudate nucleus	M
Brain	nucleus accumbens	M
Brain	putamen	M
Skin	lower leg skin	M
Adipose Tissue	subcutaneous adipose tissue	M
Nerve	tibial nerve	M
Blood Vessel	tibial artery	M
Breast	breast epithelium	M
Muscle	gastrocnemius medialis	M
Skin	suprapubic skin	M
Brain	cerebellum	M
Brain	frontal cortex	M
Pituitary	pituitary gland	M
Blood	venous blood	F
Skin	fibroblast	F
Adrenal Gland	adrenal gland	F
Thyroid	thyroid gland	F
Heart	left ventricle myocardium	F
Blood Vessel	ascending aorta	F
Heart	right atrium auricular region	F
Lung	upper lobe of left lung	F
Spleen	spleen	F
Blood Vessel	coronary artery	F
Pancreas	body of pancreas	F
Esophagus	esophagus muscularis mucosa	F
Esophagus	esophagus squamous epithelium	F
Esophagus	gastroesophageal sphincter	F
Stomach	stomach	F
Ovary	female gonad	F
Uterus	uterus	F
Small Intestine	Peyers patch	F
Vagina	vagina	F
Colon	transverse colon	F
Colon	sigmoid colon	F
Adipose Tissue	omental fat pad	F
Skin	suprapubic skin	F
Adipose Tissue	subcutaneous adipose tissue	F
Skin	lower leg skin	F
Nerve	tibial nerve	F
Blood Vessel	tibial artery	F
Muscle	gastrocnemius medialis	F
Blood	venous blood	M
Skin	fibroblast	M
Brain	dorsolateral prefrontal cortex	M
Brain	cerebellum	M
Brain	caudate nucleus	M
Brain	nucleus accumbens	M
Brain	putamen	M
Brain	hypothalamus	M
Skin	suprapubic skin	M
Testis	testis	M
Adipose Tissue	omental fat pad	M
Thyroid	thyroid gland	M
Liver	right lobe of liver	M
Heart	left ventricle myocardium	M
Heart	right atrium auricular region	M
Blood Vessel	coronary artery	M
Esophagus	gastroesophageal sphincter	M
Esophagus	esophagus squamous epithelium	M
Esophagus	esophagus muscularis mucosa	M
Adrenal Gland	adrenal gland	M
Colon	sigmoid colon	M
Breast	breast epithelium	M
Skin	lower leg skin	M
Muscle	gastrocnemius medialis	M
Pituitary	pituitary gland	M
Brain	cerebellum	M
Brain	frontal cortex	M
Blood	venous blood	M
Liver	right lobe of liver	M
Adrenal Gland	adrenal gland	M
Heart	right atrium auricular region	M
Blood Vessel	ascending aorta	M
Blood Vessel	coronary artery	M
Heart	left ventricle myocardium	M
Lung	upper lobe of left lung	M
Thyroid	thyroid gland	M
Esophagus	gastroesophageal sphincter	M
Esophagus	esophagus squamous epithelium	M
Small Intestine	Peyers patch	M
Adipose Tissue	omental fat pad	M
Colon	sigmoid colon	M
Colon	transverse colon	M
Prostate	prostate gland	M
Breast	breast epithelium	M
Skin	suprapubic skin	M
Testis	testis	M
Skin	lower leg skin	M
Muscle	gastrocnemius medialis	M
Nerve	tibial nerve	M
Blood Vessel	tibial artery	M
Blood	venous blood	M
Skin	fibroblast	M
Brain	dorsolateral prefrontal cortex	M
Brain	cerebellum	M
Brain	caudate nucleus	M
Brain	nucleus accumbens	M
Brain	putamen	M
Brain	hypothalamus	M
Skin	lower leg skin	M
Nerve	tibial nerve	M
Thyroid	thyroid gland	M
Blood Vessel	coronary artery	M
Heart	right atrium auricular region	M
Blood Vessel	ascending aorta	M
Esophagus	esophagus squamous epithelium	M
Esophagus	esophagus muscularis mucosa	M
Skin	suprapubic skin	M
Esophagus	gastroesophageal sphincter	M
Adipose Tissue	omental fat pad	M
Prostate	prostate gland	M
Brain	cerebellum	M
Pituitary	pituitary gland	M
Skin	fibroblast	M
Brain	dorsolateral prefrontal cortex	M
Brain	cerebellum	M
Brain	substantia nigra	M
Brain	anterior cingulate cortex	M
Brain	caudate nucleus	M
Brain	nucleus accumbens	M
Brain	putamen	M
Brain	hypothalamus	M
Brain	first cervical spinal cord segment	M
Skin	lower leg skin	M
Adipose Tissue	subcutaneous adipose tissue	M
Breast	breast epithelium	M
Lung	upper lobe of left lung	M
Muscle	gastrocnemius medialis	M
Esophagus	esophagus squamous epithelium	M
Skin	suprapubic skin	M
Thyroid	thyroid gland	M
Brain	cerebellum	M
Blood	venous blood	M
Skin	fibroblast	M
Brain	dorsolateral prefrontal cortex	M
Brain	cerebellum	M
Brain	Ammons horn	M
Brain	hypothalamus	M
Skin	lower leg skin	M
Adipose Tissue	subcutaneous adipose tissue	M
Muscle	gastrocnemius medialis	M
Nerve	tibial nerve	M
Blood Vessel	tibial artery	M
Breast	breast epithelium	M
Thyroid	thyroid gland	M
Lung	upper lobe of left lung	M
Esophagus	esophagus squamous epithelium	M
Testis	testis	M
Stomach	stomach	M
Colon	sigmoid colon	M
Skin	suprapubic skin	M
Brain	cerebellum	M
Brain	frontal cortex	M
Pituitary	pituitary gland	M
Blood	lymphoblast	F
Blood	venous blood	F
Thyroid	thyroid gland	F
Blood Vessel	ascending aorta	F
Adrenal Gland	adrenal gland	F
Heart	right atrium auricular region	F
Blood Vessel	coronary artery	F
Heart	left ventricle myocardium	F
Esophagus	esophagus muscularis mucosa	F
Esophagus	esophagus squamous epithelium	F
Esophagus	gastroesophageal sphincter	F
Stomach	stomach	F
Adipose Tissue	omental fat pad	F
Skin	suprapubic skin	F
Breast	breast epithelium	F
Colon	transverse colon	F
Colon	sigmoid colon	F
Ovary	female gonad	F
Vagina	vagina	F
Uterus	uterus	F
Muscle	gastrocnemius medialis	F
Blood Vessel	tibial artery	F
Adipose Tissue	subcutaneous adipose tissue	F
Skin	lower leg skin	F
Blood	lymphoblast	F
Blood	venous blood	F
Skin	fibroblast	F
Brain	dorsolateral prefrontal cortex	F
Brain	cerebellum	F
Brain	substantia nigra	F
Brain	hypothalamus	F
Brain	first cervical spinal cord segment	F
Lung	upper lobe of left lung	F
Thyroid	thyroid gland	F
Adrenal Gland	adrenal gland	F
Heart	left ventricle myocardium	F
Heart	right atrium auricular region	F
Blood Vessel	ascending aorta	F
Colon	sigmoid colon	F
Ovary	female gonad	F
Uterus	uterus	F
Vagina	vagina	F
Breast	breast epithelium	F
Esophagus	esophagus squamous epithelium	F
Salivary Gland	anterior lingual gland	F
Muscle	gastrocnemius medialis	F
Adipose Tissue	subcutaneous adipose tissue	F
Skin	lower leg skin	F
Blood Vessel	tibial artery	F
Pituitary	pituitary gland	F
Brain	frontal cortex	F
Brain	cerebellum	F
Blood	venous blood	M
Skin	fibroblast	M
Adipose Tissue	subcutaneous adipose tissue	M
Blood Vessel	tibial artery	M
Muscle	gastrocnemius medialis	M
Thyroid	thyroid gland	M
Skin	suprapubic skin	M
Heart	right atrium auricular region	M
Testis	testis	M
Colon	sigmoid colon	M
Blood	lymphoblast	M
Blood	venous blood	M
Skin	fibroblast	M
Adrenal Gland	adrenal gland	M
Lung	upper lobe of left lung	M
Spleen	spleen	M
Liver	right lobe of liver	M
Thyroid	thyroid gland	M
Esophagus	esophagus squamous epithelium	M
Esophagus	esophagus muscularis mucosa	M
Esophagus	gastroesophageal sphincter	M
Pancreas	body of pancreas	M
Adipose Tissue	omental fat pad	M
Stomach	stomach	M
Small Intestine	Peyers patch	M
Colon	transverse colon	M
Colon	sigmoid colon	M
Skin	suprapubic skin	M
Prostate	prostate gland	M
Breast	breast epithelium	M
Testis	testis	M
Salivary Gland	anterior lingual gland	M
Muscle	gastrocnemius medialis	M
Blood Vessel	tibial artery	M
Nerve	tibial nerve	M
Skin	lower leg skin	M
Adipose Tissue	subcutaneous adipose tissue	M
Blood	venous blood	M
Skin	fibroblast	M
Brain	Ammons horn	M
Brain	substantia nigra	M
Skin	suprapubic skin	M
Blood Vessel	ascending aorta	M
Heart	right atrium auricular region	M
Heart	left ventricle myocardium	M
Blood Vessel	coronary artery	M
Thyroid	thyroid gland	M
Adipose Tissue	omental fat pad	M
Esophagus	esophagus muscularis mucosa	M
Colon	sigmoid colon	M
Testis	testis	M
Breast	breast epithelium	M
Kidney	cortex of kidney	M
Muscle	gastrocnemius medialis	M
Adipose Tissue	subcutaneous adipose tissue	M
Skin	lower leg skin	M
Nerve	tibial nerve	M
Blood Vessel	tibial artery	M
Pituitary	pituitary gland	M
Brain	frontal cortex	M
Blood	venous blood	M
Brain	Ammons horn	M
Brain	substantia nigra	M
Brain	anterior cingulate cortex	M
Adipose Tissue	omental fat pad	M
Thyroid	thyroid gland	M
Breast	breast epithelium	M
Adipose Tissue	subcutaneous adipose tissue	M
Skin	lower leg skin	M
Muscle	gastrocnemius medialis	M
Nerve	tibial nerve	M
Pituitary	pituitary gland	M
Brain	frontal cortex	M
Brain	cerebellum	M
Blood	venous blood	F
Skin	fibroblast	F
Brain	dorsolateral prefrontal cortex	F
Brain	cerebellum	F
Brain	Ammons horn	F
Brain	substantia nigra	F
Brain	anterior cingulate cortex	F
Brain	caudate nucleus	F
Brain	nucleus accumbens	F
Brain	putamen	F
Brain	hypothalamus	F
Brain	first cervical spinal cord segment	F
Thyroid	thyroid gland	F
Ovary	female gonad	F
Adrenal Gland	adrenal gland	F
Pancreas	body of pancreas	F
Liver	right lobe of liver	F
Lung	upper lobe of left lung	F
Breast	breast epithelium	F
Adipose Tissue	omental fat pad	F
Blood Vessel	ascending aorta	F
Heart	right atrium auricular region	F
Heart	left ventricle myocardium	F
Colon	transverse colon	F
Esophagus	esophagus muscularis mucosa	F
Esophagus	esophagus squamous epithelium	F
Stomach	stomach	F
Vagina	vagina	F
Skin	suprapubic skin	F
Uterus	uterus	F
Skin	lower leg skin	F
Muscle	gastrocnemius medialis	F
Nerve	tibial nerve	F
Blood Vessel	tibial artery	F
Pituitary	pituitary gland	F
Brain	cerebellum	F
Brain	frontal cortex	F
Skin	fibroblast	M
Brain	dorsolateral prefrontal cortex	M
Brain	cerebellum	M
Brain	caudate nucleus	M
Brain	hypothalamus	M
Skin	lower leg skin	M
Adipose Tissue	subcutaneous adipose tissue	M
Muscle	gastrocnemius medialis	M
Nerve	tibial nerve	M
Blood	lymphoblast	F
Blood	venous blood	F
Skin	fibroblast	F
Lung	upper lobe of left lung	F
Adipose Tissue	omental fat pad	F
Thyroid	thyroid gland	F
Pancreas	body of pancreas	F
Blood Vessel	ascending aorta	F
Heart	left ventricle myocardium	F
Blood Vessel	coronary artery	F
Small Intestine	Peyers patch	F
Colon	transverse colon	F
Colon	sigmoid colon	F
Esophagus	esophagus muscularis mucosa	F
Esophagus	esophagus squamous epithelium	F
Stomach	stomach	F
Adrenal Gland	adrenal gland	F
Ovary	female gonad	F
Vagina	vagina	F
Uterus	uterus	F
Breast	breast epithelium	F
Blood Vessel	tibial artery	F
Muscle	gastrocnemius medialis	F
Adipose Tissue	subcutaneous adipose tissue	F
Blood	venous blood	M
Skin	fibroblast	M
Spleen	spleen	M
Pancreas	body of pancreas	M
Adipose Tissue	omental fat pad	M
Lung	upper lobe of left lung	M
Thyroid	thyroid gland	M
Blood Vessel	ascending aorta	M
Heart	right atrium auricular region	M
Heart	left ventricle myocardium	M
Skin	lower leg skin	M
Adipose Tissue	subcutaneous adipose tissue	M
Muscle	gastrocnemius medialis	M
Nerve	tibial nerve	M
Blood Vessel	tibial artery	M
Esophagus	gastroesophageal sphincter	M
Esophagus	esophagus muscularis mucosa	M
Esophagus	esophagus squamous epithelium	M
Small Intestine	Peyers patch	M
Colon	transverse colon	M
Skin	suprapubic skin	M
Testis	testis	M
Breast	breast epithelium	M
Skin	fibroblast	M
Thyroid	thyroid gland	M
Adrenal Gland	adrenal gland	M
Lung	upper lobe of left lung	M
Spleen	spleen	M
Pancreas	body of pancreas	M
Skin	suprapubic skin	M
Prostate	prostate gland	M
Breast	breast epithelium	M
Testis	testis	M
Esophagus	esophagus squamous epithelium	M
Esophagus	esophagus muscularis mucosa	M
Stomach	stomach	M
Colon	transverse colon	M
Small Intestine	Peyers patch	M
Nerve	tibial nerve	M
Muscle	gastrocnemius medialis	M
Skin	lower leg skin	M
Blood	venous blood	M
Skin	fibroblast	M
Brain	amygdala	M
Brain	caudate nucleus	M
Brain	nucleus accumbens	M
Brain	putamen	M
Skin	lower leg skin	M
Muscle	gastrocnemius medialis	M
Adipose Tissue	subcutaneous adipose tissue	M
Nerve	tibial nerve	M
Blood Vessel	tibial artery	M
Blood Vessel	ascending aorta	M
Lung	upper lobe of left lung	M
Heart	right atrium auricular region	M
Thyroid	thyroid gland	M
Liver	right lobe of liver	M
Esophagus	esophagus squamous epithelium	M
Esophagus	esophagus muscularis mucosa	M
Esophagus	gastroesophageal sphincter	M
Adipose Tissue	omental fat pad	M
Stomach	stomach	M
Testis	testis	M
Skin	suprapubic skin	M
Brain	frontal cortex	M
Brain	cerebellum	M
