ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol
1423152_at	0.0000648	3.35E-09	-25.795446	9.876088	-2.1951645	Vapb
1460049_s_at	0.0000648	3.44E-09	-25.715308	9.863901	-3.753552	1500015O10Rik
1425385_a_at	0.0000648	4.31E-09	25.016754	9.754199	3.2218582	Ighm
1424831_at	0.000087	7.71E-09	23.295882	9.454982	2.8472516	Cpne2
1417279_at	0.0001381	1.55E-08	21.381001	9.065552	2.1632544	Itpr1
1458635_at	0.0001381	1.84E-08	-20.942236	8.966642	-1.7962211	Mettl21e
1434628_a_at	0.0002128	3.30E-08	19.485072	8.608391	1.6746539	Rhpn2
1423261_at	0.0002452	4.35E-08	-18.834555	8.432199	-1.9033411	1500015O10Rik
1418063_at	0.0003845	7.67E-08	-17.559307	8.053658	-3.629143	Kera
1427329_a_at	0.0006701	1.49E-07	16.177885	7.587144	1.5939885	Ighm
1432075_a_at	0.000731	1.78E-07	15.815116	7.45366	1.8338251	Tekt1
1438059_at	0.0007619	2.21E-07	15.394549	7.292671	1.3852115	Ctxn3
1417765_a_at	0.0007619	2.33E-07	15.300162	7.255586	2.0547472	Amy1
1452661_at	0.0007619	2.37E-07	-15.268238	7.242962	-1.2561826	Tfrc
1458081_at	0.0008332	2.91E-07	-14.87565	7.084295	-1.2867159	
1460203_at	0.0008332	3.01E-07	14.817271	7.060149	1.5835624	Itpr1
1423065_at	0.0008332	3.32E-07	-14.63369	6.983262	-1.352768	Dnmt3a
AFFX-18SRNAMur/X00686_5_at	0.0008332	3.33E-07	-14.632335	6.982689	-1.7751486	
1427115_at	0.0008332	3.68E-07	14.447204	6.903646	2.1445403	Myh3
1448468_a_at	0.0008332	3.69E-07	14.440872	6.900916	2.3796807	Kcnab1
1418356_at	0.0009383	4.54E-07	-14.072047	6.738712	-1.6047935	Mpst
1454740_at	0.0009383	4.58E-07	14.058615	6.732685	2.1432723	Mib1
1423489_at	0.0012074	6.24E-07	-13.52273	6.485146	-1.1770049	Mmd
1431805_a_at	0.0012074	6.43E-07	13.472464	6.461197	1.6452842	Rhpn2
1451818_at	0.0013096	7.57E-07	13.197671	6.327969	1.5389912	Mib1
1428414_at	0.0013096	7.76E-07	-13.157075	6.307952	-2.04935	Ccny
1437422_at	0.0013096	8.38E-07	-13.029039	6.244243	-1.0142534	Sema5a
1460633_at	0.0013096	8.66E-07	-12.975761	6.217472	-1.0682442	Prpf19
1417273_at	0.0013096	8.71E-07	12.966546	6.212827	1.1222238	Pdk4
1418599_at	0.0013096	8.86E-07	-12.937123	6.197961	-1.9988058	Col11a1
1430786_at	0.0013096	9.00E-07	-12.912084	6.185274	-1.3121113	LOC102634333///1110002E22Rik
1420657_at	0.0013308	9.57E-07	12.812673	6.134559	1.850522	Ucp3
1425425_a_at	0.0013308	9.74E-07	-12.784663	6.120171	-2.8131805	Wif1
1419140_at	0.0014299	1.10E-06	-12.593116	6.020592	-1.1875549	Acvr2b
1448169_at	0.0014299	1.11E-06	12.575246	6.011196	2.8822056	Krt18
1416147_at	0.0014744	1.18E-06	-12.481956	5.961842	-1.5949134	Hspa4
1425382_a_at	0.0015226	1.25E-06	-12.388164	5.911712	-1.2625348	Aqp4
1423066_at	0.0015425	1.30E-06	-12.326092	5.87825	-1.3020469	Dnmt3a
1454043_a_at	0.0015834	1.37E-06	12.244872	5.83412	1.8079917	Kcnab1
1451257_at	0.0017523	1.57E-06	12.035593	5.71857	1.1207439	Acsl6
1449154_at	0.0017523	1.59E-06	-12.011868	5.705301	-2.0031985	Col11a1
1440085_at	0.0021996	2.12E-06	11.58413	5.45996	1.42957	Eda2r
1450839_at	0.0021996	2.17E-06	-11.550491	5.440163	-1.4153832	Nrep
1430976_a_at	0.0021996	2.17E-06	11.547335	5.438302	1.02596	Mrpl9
1420992_at	0.0021996	2.20E-06	11.529625	5.427845	2.4300288	Ankrd1
1416589_at	0.0021996	2.27E-06	-11.48065	5.39882	-1.50809	Sparc
1426808_at	0.0021996	2.29E-06	11.467873	5.391221	2.5256919	Lgals3
1420991_at	0.0022479	2.47E-06	11.359139	5.326112	2.7946465	Ankrd1
1447870_x_at	0.0022479	2.49E-06	-11.347534	5.319115	-1.0564277	LOC102634333///1110002E22Rik
1439772_at	0.0022479	2.49E-06	-11.346049	5.31822	-1.193185	Cnot11
1418852_at	0.0022897	2.61E-06	11.27929	5.277786	1.0962607	Chrna1
1436203_a_at	0.0022897	2.67E-06	-11.245838	5.25741	-1.7422947	1110059G02Rik///Sntb1
1455544_at	0.0022897	2.69E-06	11.235378	5.251024	1.2023066	Zranb3
1438796_at	0.0023057	2.80E-06	11.179664	5.216876	1.5089237	Nr4a3
1436736_x_at	0.0023057	2.81E-06	-11.17226	5.212321	-1.3378786	Nrep
1420689_at	0.0023914	2.97E-06	11.09453	5.164277	2.438322	4933415F23Rik
1424698_s_at	0.0024335	3.08E-06	11.044683	5.133242	0.9372502	Gca
1449519_at	0.0024741	3.21E-06	10.983335	5.094803	1.7920292	Gadd45a
1428740_a_at	0.0024741	3.24E-06	-10.972624	5.088065	-1.0102783	Pigt
1432517_a_at	0.0025656	3.41E-06	-10.898083	5.040939	-1.1790813	Nnmt
AFFX-18SRNAMur/X00686_M_at	0.0026357	3.56E-06	-10.837406	5.00228	-2.0100426	
1448842_at	0.0027253	3.75E-06	-10.768423	4.958001	-1.4701791	Cdo1
