ensembl_gene_id	LMNA_02mo_s19	LMNA_02mo_s22	LMNA_02mo_s23	LMNA_02mo_s48	LMNA_02mo_s49	LMNA_02mo_s50	WT_02mo_s41	WT_02mo_s42	WT_02mo_s43	WT_02mo_s44	WT_02mo_s45	WT_02mo_s46	WT_24mo_s24	WT_24mo_s25	WT_24mo_s28	WT_24mo_s31	WT_24mo_s32	WT_24mo_s34
ENSMUSG00000000001	3174	4045	3150	6103	4261	3498	3013	2611	2175	1770	2706	3121	1865	2454	3081	2796	3082	2466
ENSMUSG00000000003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000028	62	66	73	118	76	52	54	37	37	24	48	35	44	27	45	46	58	34
ENSMUSG00000000031	415	84	159	242	107	389	49	20	29	20	48	42	20	20	16	18	19	5
ENSMUSG00000000037	28	22	27	50	39	34	29	34	29	20	38	32	34	26	13	11	16	9
ENSMUSG00000000049	13	13	7	6	5	6	1	1	1	3	3	6	2	1	4	1	0	0
ENSMUSG00000000056	373	546	563	639	685	442	594	528	447	348	502	507	373	456	720	492	585	335
ENSMUSG00000000058	4375	6372	5061	9194	6531	4003	5959	4960	4372	3182	4661	3946	3240	2652	3719	3924	4315	3455
ENSMUSG00000000078	8808	11298	8697	19644	11597	11134	8027	7690	9435	7578	7271	11398	6269	6142	7589	10128	9242	8995
ENSMUSG00000000085	473	583	533	730	623	442	437	335	284	236	438	458	414	332	350	401	365	313
ENSMUSG00000000088	1360	2669	2406	1570	1519	1428	1054	693	526	305	739	588	656	486	612	678	628	623
ENSMUSG00000000093	25	47	39	43	29	45	52	37	36	34	58	47	101	83	86	76	52	45
ENSMUSG00000000094	0	1	0	2	0	0	0	0	0	0	0	0	0	0	1	1	0	0
ENSMUSG00000000103	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000120	12	20	13	6	5	8	3	0	4	0	2	5	27	6	5	4	7	2
ENSMUSG00000000125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000126	152	200	166	345	232	241	338	306	203	223	254	266	233	171	212	281	216	186
ENSMUSG00000000127	605	858	646	1281	924	632	903	715	642	514	741	783	653	570	813	687	790	641
ENSMUSG00000000131	762	944	928	1499	1027	998	1099	984	769	741	1093	1163	977	803	1123	1130	1109	874
ENSMUSG00000000134	564	700	692	879	759	606	517	422	358	330	504	476	405	369	465	505	381	378
ENSMUSG00000000142	68	94	113	102	72	79	94	66	70	54	69	84	112	46	90	74	72	73
ENSMUSG00000000148	178	259	259	287	278	238	371	238	249	220	312	314	317	188	245	274	293	230
ENSMUSG00000000149	2723	3607	3327	4328	4261	2999	3392	2413	2198	2074	2953	3117	2970	2281	2758	2849	2741	2331
ENSMUSG00000000154	36	22	39	44	28	45	24	26	20	14	28	30	25	43	31	30	28	38
ENSMUSG00000000157	2	1	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0
ENSMUSG00000000159	1	2	6	9	1	6	14	3	1	2	6	5	0	0	0	4	0	9
ENSMUSG00000000167	6	7	9	19	6	11	9	6	10	7	12	3	2	4	6	5	7	4
