ID	TISSUE	AGE	GROUP	SEX
GSM1328469	adrenal	2	juvenile	female
GSM1328470	adrenal	2	juvenile	female
GSM1328471	adrenal	2	juvenile	female
GSM1328472	adrenal	2	juvenile	female
GSM1328473	adrenal	6	adolescent	female
GSM1328474	adrenal	6	adolescent	female
GSM1328475	adrenal	6	adolescent	female
GSM1328476	adrenal	6	adolescent	female
GSM1328477	adrenal	21	adult	female
GSM1328478	adrenal	21	adult	female
GSM1328479	adrenal	21	adult	female
GSM1328480	adrenal	21	adult	female
GSM1328481	adrenal	104	elderly	female
GSM1328482	adrenal	104	elderly	female
GSM1328483	adrenal	104	elderly	female
GSM1328484	adrenal	104	elderly	female
GSM1328485	adrenal	2	juvenile	male
GSM1328486	adrenal	2	juvenile	male
GSM1328487	adrenal	2	juvenile	male
GSM1328488	adrenal	2	juvenile	male
GSM1328489	adrenal	6	adolescent	male
GSM1328490	adrenal	6	adolescent	male
GSM1328491	adrenal	6	adolescent	male
GSM1328492	adrenal	6	adolescent	male
GSM1328493	adrenal	21	adult	male
GSM1328494	adrenal	21	adult	male
GSM1328495	adrenal	21	adult	male
GSM1328496	adrenal	21	adult	male
GSM1328497	adrenal	104	elderly	male
GSM1328498	adrenal	104	elderly	male
GSM1328499	adrenal	104	elderly	male
GSM1328500	adrenal	104	elderly	male
GSM1328501	brain	2	juvenile	female
GSM1328502	brain	2	juvenile	female
GSM1328503	brain	2	juvenile	female
GSM1328504	brain	2	juvenile	female
GSM1328505	brain	6	adolescent	female
GSM1328506	brain	6	adolescent	female
GSM1328507	brain	6	adolescent	female
GSM1328508	brain	6	adolescent	female
GSM1328509	brain	21	adult	female
GSM1328510	brain	21	adult	female
GSM1328511	brain	21	adult	female
GSM1328512	brain	21	adult	female
GSM1328513	brain	104	elderly	female
GSM1328514	brain	104	elderly	female
GSM1328515	brain	104	elderly	female
GSM1328516	brain	104	elderly	female
GSM1328517	brain	2	juvenile	male
GSM1328518	brain	2	juvenile	male
GSM1328519	brain	2	juvenile	male
GSM1328520	brain	2	juvenile	male
GSM1328521	brain	6	adolescent	male
GSM1328522	brain	6	adolescent	male
GSM1328523	brain	6	adolescent	male
GSM1328524	brain	6	adolescent	male
GSM1328525	brain	21	adult	male
GSM1328526	brain	21	adult	male
GSM1328527	brain	21	adult	male
GSM1328528	brain	21	adult	male
GSM1328529	brain	104	elderly	male
GSM1328530	brain	104	elderly	male
GSM1328531	brain	104	elderly	male
GSM1328532	brain	104	elderly	male
GSM1328533	heart	2	juvenile	female
GSM1328534	heart	2	juvenile	female
GSM1328535	heart	2	juvenile	female
GSM1328536	heart	2	juvenile	female
GSM1328537	heart	6	adolescent	female
GSM1328538	heart	6	adolescent	female
GSM1328539	heart	6	adolescent	female
GSM1328540	heart	6	adolescent	female
GSM1328541	heart	21	adult	female
GSM1328542	heart	21	adult	female
GSM1328543	heart	21	adult	female
GSM1328544	heart	21	adult	female
GSM1328545	heart	104	elderly	female
GSM1328546	heart	104	elderly	female
GSM1328547	heart	104	elderly	female
